kharada,English
ಅಮ್ಮಿ ಸಕ್ಕಳ ಧಾವರಿ,We run in the morning.
ತೂ ಅತ್ತ ಓಸ,You go now.
ಹವೆ ಪ್ರಶ್ನೆ ವಿತಾರ್ಲ್ಲ,I asked a question.
ತೆ ಣ ಕೆಲಸ ಶುರು ಕೆಲ್ಲ,He started the work.
ತೆ ಣೆ ಚಿತ್ರ ಕೆಲ್ಲ,She colored the picture.
ಅಮ್ಮಿ ಸಾಯಂಕಾಲ ಮೇಲೆಸ್ಸ,Let us meet in the evening.
ತೂ ಹುಳು ಬಾರಾಯೆ,You write slowly.
ಮುಕ್ಕ ಏ ಪಾಠು ಅರ್ಥದಲ್ಲ,I understood this lesson.
ತೆಣ ರೂಖು ಕತ್ತರ್ಲ,He cut the tree.
ತೀ ಘರಾಣಿ ಪತ್ತಲಿ,She reached home.
ತೂ ಮಜ್ಜಂಗತ ರಾಭ,You stand with me.
ಹವೆ ನವೆ ಶಿಕ್ಸಕ ಶುರು ಕೆಲ್ಲ,I started learning something new.
ತೆಣ ಪುಸ್ತಕ ಸೊದ್ಧಿಲ,He searched for the book.
ತೆಣೆ ಫುಲ್ಲಾಂಕ ಉದೊಘಲ್ಲ,She watered the flowers.
ಅತ್ತ ಅಮ್ಮಿ ಉಲ್ಲೋವ್ಯ,Let us talk now.
ತೂ ವೆಗ್ಗಿ ಉತ್ತರ ಸಾಂಗ,You answer quickly.
ಮುಕ್ಕ ಏ ಅವಕಾಶು ಇಷ್ಟದಲ್ಲ,I like this opportunity.
ತೆಣ ಬಾಗಿಲ ಕಾಳ್ಳ,He opened the door.
ತೆಣೆ ಕ್ಲಾಸ್ ಶುರು ಕೆಲ್ಲ,She started the class.
ಅಮ್ಮಿ ಪಾಠು ವಾಚ್ಯ,Let us read the lesson.
ತೂ ಮುಕ್ಕ ರಾಭ,You wait for me.
ಹಾವ ಕೆಲಸ ಕರ್ಯ,I am doing work.
ತೆಣ ಕಥೆ ಸಂಗಿಲ,He told a story.
ತೀ ಸ್ನೇಹಿತಾಕ ಭೇಟಿಧಲ್ಲಿ,She met her friend.
ಅಮ್ಮಿ ಸಕ್ಕಳಾಎಂಬೆ ವ್ಯಯಮು ಕರ್ರಸ್,Let us exercise in the morning.
ತೂ ಹಂಗ ರಾಭ,You stand here.
ಮುಕ್ಕ ನವೆ ಪುಸ್ತಕ ಮೇಳ್ಹ,I got a new book.
ಹಾವ ಆಜಿ ಶಾಲೇಕ ವೇರ,I go to school today.
ತೂ ಸಕ್ಕ ವೆಗ್ಗಿ ಉಡ್ಕ,You wake up early.
ತೆಣ ನವೆ ಅಂಗಾಲ ಕಾಳ್ಳ,He bought new clothes.
ತೆಣೆ ಜೆನಾಎಂಟು ಫುಲ್ಲ ಖುಮ್ಟುಗಳ್ಳ,She plucked a flower in the garden.
ಅಮ್ಮಿ ಅತ್ತ ಪಾಠು ವಾಚ್ಯ,Let us read the lesson now.
ತುಮ್ಮಿ ಹುಳು ಚಾಂಕ್ಯ,You walk slowly.
ಮುಕ್ಕ ನೆವೆಂಬೆ ಕ್ಸಷಂದಲ್ಲಿತಿ ಶಿಕ್ಕುನ್ನ,I want to learn a new topic.
ತೋ ಗಾಡಿ ಧವರ,He is washing the vehicle.
ತೀ ಪೈಸು ಪಳೇರ,She is watching the rain.
ಅಮ್ಮಿ ನಧಿಚ ಬರಿಕ ಬಿಚ್ಯ,Let us go to the riverbank.
ತೂ ಮುಕ್ಕ ಏಕ ಪ್ರಶ್ನೆ ವಿತಾರಿ,You ask me a question.
ಹಾವ ಏ ಕೆಲಸ ಶುರು ಕರ್ರ,I will start this work.
ತೆಣ ಸ್ನೇಹಿತಚೇಣಿ ಉಲ್ಲೇಲ,He spoke with his friend.
ತೆಣೆ ಕಾಗಧಾನ್ನು ಚಿತ್ರ ಬರೇಲ್ಲ,She drew a picture on the paper.
ಅಮ್ಮಿ ಸಂಗತಾಚಿ ಚೌವ್ಯ,Let us eat together.
ತೂ ಹಂಗ ಇದ್ದು ವೇಳು ರಾಖ,You wait here for a while.
ಮುಕ್ಕ ಏ ಸಂಗೀತ ಇಷ್ಟ,I like this music.
ತೀ ಸಕ್ಕಳಾಂಚಿ ವ್ಯಾಯಾಮ ಕರ್ರ,He exercises in the morning.
ತೆಣೆ ಘರಾಚ ಬಾಗಿಲ ಧಂಪಿಲ,She closed the house door.
ಅಮ್ಮಿ ಪುಸ್ತಕ ಹಂಚು ಪಿಲಿ,We shared the book.
ತೂ ಉತ್ತರ ಬಾರಾಯೆ,You write the answer.
ಅಮ್ಮಿ ಏ ಪ್ರಶ್ನೆಕ ಉತ್ತರ ಸೊದ್ದಿರಿ,I am searching for the answer to this question.
ತೋ ನವೆ ಮಾಡ್ದೆ ವ್ಯರ್,He is planting a new plant.
ತೆಣೆ ಸ್ನೇಹಿತಾಕ ಸಹಾವು ಕೆಲ್ಲ,She helped her friend.
ಅಮ್ಮಿ ಆಜಿ ಗೆಲ್ಲಾಕ ಪಾಳೋವ್ಯ,Let us try to win today.
ತುಮ್ಮಿ ಮಜ್ಜಂಗತ ಚಾಂಕು ಯೂ,You walk with me.
ಮುಕ್ಕ ಏ ಕಥೆ ಭತೀ ಇಷ್ಟ,I like this story very much.
ತೆಣ ರೆಟರೆಂಟು ಬೈರ ಪಳೇಲ,He looked outside through the window.
ತೀ ಜಾಂಕ ಕಾರ್ಗನೂಟ್ಟ,She is preparing food.
ಅಮ್ಮಿ ಅತ್ತ ಘರಾಣಿ ಬಿಚ್ಯ,Let us return home now.
ತೂ ಹುಳು ವಾಚಿರ,You read slowly.
ಏ ಪುಸ್ತಕ ವಾಚುನು ದಲ್ಲ,I finished this book.
ತೋ ಶಾಲೇಕ ಪುಳ್ಳೆ ರಬ್ಬೀಲೋ,He stood in front of the school.
ತೀ ಕ್ಲಾಸಾನ್ನು ಬರೋಂಗನ್ನೊಟ್ಟ,She is writing in the classroom.
ಅಮ್ಮಿ ಸಾಯಂಕಾಲ ಖೇಳು ಖೆಳ್ಯ,Let us play in the evening.
ತೆಣ ಸ್ನೇಹಿತಾಕ ಕಾಲ್ ಕೆಲ್ಲ,He called his friend.
ತೆಣೆ ದೂದ ಊನ ಕೆಲ್ಲ,She boiled milk.
ಅಮ್ಮಿ ನವೆ ಯೋಜನಾಚ ಬಗ್ಗೆ ಉಲೋಲ್ಲವ್ಯ,Let us talk about the new project.
ತೂ ಮುಕ್ಕ ತುತ್ತ ಅಭಿಪ್ರಾಯ ಸಾಂಗ,You tell me your opinion.
ಹಾವ ಆಜಿ ವೆಗ್ಗಿ ನಿದ್ಧೆರ,I will sleep early today.
ತೆಣ ಬಾಗಿಲ ಕಾಳ್ಳ,He opened the door.
ತೆಣೆ ಪುಸ್ತಕ ಧಂಪಿಲ,She closed the book.
ಅಮ್ಮಿ ಅತ್ತ ದೌವ್ಯ,Let us run now.
ತೂ ಹಂಗ ಭಡ್ಯೂಕ್ನ್ನು ವಾಚಿ,You sit here and read.
ಹವೆ ನವೇಂಚಿ ಶಿಕ್ಕಿಲೆ,I gained new learning.
ತೆ ಣ ಪತ್ರ ಬಳೆಲ್ಲ,He sent the letter.
ತೀ ಹಾಡು ಆಯುಕ್ಕಂಗೇನೋಟ್ಟ,She is listening to a song.
ಅಮ್ಮಿ ಪೈ ಪರೀಕ್ಷೆ ಬರೊವ್ಯ,Let us write the exam tomorrow.
ತೂ ಮಜ್ಜ ಸಂಗತ ಯೋ,You come with me.
ಹಾವ ಏ ಕೆಲಸ ಪೂರ್ತಿ ಕರ್ರ,I will finish this work.
ತೆಣೆ ಚೆನ್ನಾಕ ಉದು ಘಲ್ಲ,She watered the garden.
ಅಮ್ಮಿ ಸಕ್ಕಳ ಭೇಟಿ ದೌವ್ಯ,Let us meet in the morning.
ತೂ ವೆಗ್ಗಿ ಉತ್ತರ ದೀ,You give the answer quickly.
ತೀ ಹಣ್ಣು ದೌನ್ಗನೂಟ್ಟ,She is washing fruits.
ಅತ್ತ ವಾಚಾ ಶುರು ಕರ್ಯ,Let us start studying now.
ತುಮ್ಮಿ ಸಮಾಡೌವೂನ್ ಬರಾಯ,You write properly.
ಹವೆ ನವೆ ಸ್ನೇಹಿತಾಕ ಕಾರ್ಗಳ್ಳ,I made a new friend.
ತೂ ಶಾಲೇಕ ತಡ ದೌವ್ನ್ನು ಅಯ್ಲಲ,He came late to school.
ತೀ ಸ್ನೇಹಿತೆಣಿ ಉಲ್ಲೇಲಿ,She spoke with her friend.
ಅಮ್ಮಿ ಕ್ರೀಡಾಂಗಣ ಡೌವ್ಯ,Let us run in the playground.
ಅಮ್ಮಿ ಕ್ರೀಡಾಂಗಣ ಡೌವ್ಯ,You pay attention to my words.
ಏ ವಿಷಯ ಮುಕ್ಕ ನವೆ,This topic is new to me.
ತೆಣ ಕಾಗದನ್ನು ಉತ್ತರ ಬರೇಲ್ಲ,He wrote the answer on paper.
ತೆಣೆ ಗಡಿಯಾರ ಪಳೆಲ್ಲ,She looked at the clock.
ಅಮ್ಮಿ ಪುಸ್ತಕ ವಾಚುಂಗ್ಗನೋಟ್ಟ,We are reading a book.
ತೂ ಮುಕ್ಕ ಪಳೋನು ಹಾಯೆ,You smile at me.
ಹಾವ ಏ ಹಾಡು ಪಿಕುನ್ನ್ಗನೋಟ್ಟ,I am listening to this song.
ತೆಣೆ ತತ್ನ್ನ ಸ್ನೇಹಿತಾಕ ಪುಸ್ತಕ ದಿಲ್ಲ,He gave a book to his friend.
ತೆಣೆ ಕ್ಲಾಸಾನ್ನು ಪ್ರಶ್ನೆ ವಿತಾರಲ್ಲ,She asked a question in the class.
ಅಮ್ಮಿ ಅತ್ತ ವಿಶ್ರಾಂತಿ ಕಡ್ಯ,Let us take rest now.
ತುಮ್ಮಿ ಹುಳು ಉ ಲ್ಲೇರಿ,You speak slowly.
ಏ ಚಿತ್ರ ಭರ್ತಿ ರೋಕ ಅತ್ಯ,This picture is very beautiful.
ತೆಣ ಸಕ್ಕಳಾಂಚಿ ಶಾಲೇಕ ಗೆಲ್ಲೊ,He went to school in the morning.
ತೆಣೆ ಕೆಲಸ ಸಾರ್ಲ,She has finished the work.
ಅಮ್ಮಿ ಸಂಗತ ಶಿಕ್ಯಾ,Let us learn together.
ತೂ ಉತ್ತರ ಸಾಂಗ,You say the answer.
ಹಾವ ಘರಾಣಿ ವೇರ,I am returning home.
ತೆಣ ಪತ್ರ ವಾಚಿಲ,He read the letter.
ತೀ ಸ್ನೇಹಿತಾಕ ಭೇಟಿದಲ್ಲಿ,She met her friend.
ಅಮ್ಮಿ ಸಾಯಂಕಾಲ ಚೌಂಕ್ಯ,Let us walk in the evening.
ತೂ ಹಂಗ ರಾಭ,You stand here.
ಮುಕ್ಕ ಏ ಕೆಲಸ ಕಷ್ಟ,This work is difficult for me.
ತೋ ನವೆ ಕೆಲಸ ಸೊದ್ದಿರ,He is searching for a new job.
ತೆಣೆ ಕಿಟಕಿ ಕಾಳ್ಳ,She opened the window.
ಅಮ್ಮಿ ಸಕ್ಕಳಾಂಚಿ ಧಾವರಿ,We run in the morning.
ತೂ ಮುಕ್ಕ ಸಹಾವು ಕಾರಿ,You help me.
ಹವೆ ನವೆ ಪಾಠು ಶಿಕ್ಕಿಲೆ,I learned a new lesson.
ತೆಣ ಪುಸ್ತಕ ಹಳ್ಳ,He bought a book.
ತೆಣೆ ಹಣ್ಣು ಖಲ್ಲ,She ate fruit.
ಅಮ್ಮಿ ಏ ಕೆಲಸ ಶುರು ಕರ್ಯ,Let us start work now.
ತೂ ಪ್ರಶ್ನೆಕ ಉತ್ತರ ದೀ,You answer the question.
ಏ ಅವಕಾಶ ಮುಕ್ಕ ಖುಷಿ ಕೆಲ್ಲ,This opportunity made me happy.
ತೀ ಪೌಸು ಪಳೇರ,She is watching the rain.
ಅಮ್ಮಿ ಸಂಗತಾ ಗೆಲ್ಪ್ಯ,Let us win together.
ತೂ ಹುಳೂ ಚೌಂಕ,You walk slowly.
ಹಾವ ಹಂಗ ರಖರ,I am waiting here.
ತೆಣ ಮಡ್ಯಾಂಕ ಉದೊ ಘಲ್ಲ,He watered the plant.
ಅಮ್ಮಿ ಸಕ್ಕಳ ಚಾ ಪಿಯೋವ್ಯ,Let us drink tea in the morning.
ತುಮ್ಮಿ ಹಂಗ ಭಡ್ಕ್ಯ,You sit here.
ಮುಕ್ಕ ಏ ಸಂಗೀತ ಭರ್ತಿ ಇಷ್ಟ,I like this music very much.
ತೆಣ ಸ್ನೇಹಿತಾಕ ಕಾಲ್ ಕೆಲ್ಲ,He called his friend.
ತೆಣೆ ಪಾಠು ವಾಚಿಲ,She read the lesson.
ಅಮ್ಮಿ ಹಂಗಟು ಬೈಸರ್ಯ,Let us leave now.
ತೂ ಮಜ್ಜ ಸಂಗತ ರಾಭ,You stay with me.
ಹಾವ ಏ ಕೆಲಸ ಮುಂದುವರಿಸ್ಪರ,I will continue this work.
ತೋ ಉತ್ತರಾಚ ಬಗ್ಗೆ ಯೋಚನ ಕರ್ರ,He is thinking of the answer.
ತೀ ಸ್ನೇಹಿತಾಣಿ ಹಾಸರ,She is smiling at her friend.
ಅಮ್ಮಿ ಸಾಯಂಕಾಲ ಭೇಟಿ ದೌವ್ಯ,Let us meet in the evening.
ತುಮ್ಮಿ ಗಮನ ಜೌಮ್ನ ಅಯ್ಕ,You listen carefully.
ಮುಕ್ಕ ಏ ಪ್ರಶ್ನೆ ಅರ್ಥ ದೈಯ್ನ್ಯೆ,I did not understand this question.
ತೆಣ ಏ ಪುಸ್ತಕ ಜಪನ್ ಕೆಲ್ಲ,He opened the book.
ತೀ ಕೆಲಸ ಕರ್ಗ್ಮನೋಟ್ಟ,She is working.
ಅಮ್ಮಿ ಸಕ್ಕಳ ವ್ಯಾಯಾಮ ಕರ್ಯ,Let us exercise in the morning.
ತೂ ಉತ್ತರ ಬರಾಯೆ,You write the answer.
ಹಾವ ನವೆ ವಿಷಯ ವಾಬೆರ,I am studying a new topic.
ತೋ ಶಾಲೇಕ ವೇರ,He is going to school.
ತೆಣೆ ಫುಲ್ಲ ಖುಂಟುನ್ಗ್ಗಳ್ಳ,She plucked a flower.
ಅಮ್ಮಿ ಅತ್ತ ಖೇಳಾಕ ಶುರು ಕರ್ಯ,Let us start the game now.
ತೂ ಹಂಗ ರಾಖ,You wait here.
ಮುಕ್ಕ ಏ ಪಾಠು ಸುಲಭ ಅತ್ಯ,This lesson is easy for me.
ತೋ ಸ್ನೇಹಿತಾಕ ಸಹಾವು ಕರ್ರ,He helps his friend.
ತೀ ಚಿತ್ರ ಕರ್ಗ್ಮನೋಟ್ಟ,She is drawing a picture.
ಅಮ್ಮಿ ಸಗಂತಾ ವಾಚ್ಯಾ,Let us study together.
ತೂ ಮಜ್ಜ ಸಂಗತ ಚೌನ್ಕಾ,You walk with me.
ಹಾವ ಆಜಿ ಖುಷಿನೆ ಒಟ್ಟ,I am happy today.
ತೋ ಪತ್ರ ಬಳೇರ,He sends a letter.
ತೀ ಸ್ನೇಹಿತೇಕ ಪಳೆಲ್ಲಿ,She saw her friend.
ಅಮ್ಮಿ ಘರಾಣಿ ಬಿಚ್ಯಾ,Let us go home now.
ತುಮ್ಮಿ ವೆಗ್ಗಿ ಯೂ,You come quickly.
ಮುಕ್ಕ ಏ ಕಥೆ ಅರ್ಥದಲ್ಲ,I understood this story.
ತೆಣೆ ಕೆಲಸ ಸಾರ್ಲ,He finished the work.
ತೆಣೆ ಕಿಟಕಿ ಧಂಪಿಲ,She closed the window.
ಅಮ್ಮಿ ಸಕ್ಕಳ ವಾಚ್ಯ,Let us study in the morning.
ಹವೆ ನವೆ ಕೆಲಸ ಕರಾಕ ಶುರು ಕೆಲ್ಲ,I started a new job.
ತೋ ಪುಸ್ತಕ ವಾಚುಂಗ್ಗ ನೋಟ್ಟ,He is reading a book.
ತೆಣೆ ಹಣ್ಣು ಕುಟ್ಟಂಕೆಲ್ಲ,She cut the fruit.
ಅಮ್ಮಿ ಅತ್ತ ಉಲ್ಲೊವ್ಯ,Let us talk now.
ತೂ ಹಂಗ ಬರಾಯೆ,You write here.
ಮುಕ್ಕ ಏ ಜಾಗು ಭರ್ತಿ ಇಷ್ಟ,I like this place very much.
ತೋ ಸ್ನೇಹಿತಾಕ ಉಲ್ಲೋ ದೋನಗ್ಗಳೋ,He called his friend.
ತೆಣೆ ಪೌಸು ಪಳೆಲಾ,She watched the rain.
ಅಮ್ಮಿ ಸಂಗತಾ ಪ್ರಯ್ತ್ನ ಪಡ್ಯ,Let us try together.
ತೂ ಹೂಳೂ ವಾಚಿ,You read slowly.
ಮುಕ್ಕ ಏ ಉತ್ತರ ರೊಂತುತ್ಯ,I know this answer.
ತೋ ಕೆಲಸ ಕರ್ ನ್ಯಾ ನೋಟ್ಟ,He is working.
ತೆಣೆ ಮಡ್ಡೆ ವೈಲ,She planted a plant.
ಅಮ್ಮಿ ಸಕ್ಕಳ ಚೌಂಕ್ಯ,Let us walk in the morning.
ತುಮ್ಮಿ ಹಂಗ ರಭ್ಯ,You stand here.
ಏ ಚಿತ್ರ ರೋಕ ಅತ್ಸ,This picture is good.
ತೆಣ ಸ್ನೇಹಿತಾಕ ಪತ್ರ ಬರೇಲ್ಲ,He wrote a letter to his friend.
ತೀ ಜೆನ್ನಾನ್ನು ಚೌಂಕರ,She walks in the garden.
ಅಮ್ಮಿ ಅತ್ತ ಕೆಲಸ ಸಾರ್ಯ,Let us finish the work now.
ತೂ ಮಜ್ಜ ಸಂಗತ ಯೋ,You come with me.
ಹಾವ ಪ್ರಶ್ನೆ ವಿತಾರ,I ask a question.
ತೆಣ ಕಾಗದ ಕನ್ಗಳ್ಳ,He took the paper.
ತೀ ಪಾಠು ಅಭ್ಯಾಸ ಕರ್ಗನ್ನೊಟ್ಟ,She is practicing the lesson.
ಅಮ್ಮಿ ಸಾಯಂಕಾಲ ಧೌವ್ಯ,Let us run in the evening.
ತೂ ಉತ್ತರ ಸಾಂಗ,You say the answer.
ಮುಕ್ಕ ಏ ಕೆಲಸ ಅರ್ಥು ದಲ್ಲ,I understood this work.
ತೆಣ ಸ್ನೇಹಿತಾಕ ಸಹಾವು ಕೆಲ್ಲ,He helped his friend.
ತೀ ಹಾಡು ಆಯ್ಕುನ್ಗನ್ನೊಟ್ಟ,She is listening to a song.
ಅಮ್ಮಿ ಅತ್ತ ವಿಶ್ರಾಂತಿ ಕಂಗಣ್ಯ,Let us take rest now.
ಹಾವ ಅತ್ತ ನವೆ ವಿಷಯ ಶಿಕ್ಕುನ್ಗನ್ನೊಟ್ಟ,I am learning a new topic today.
ತೂ ಪುಸ್ತಕ ಉಘಡಿ,You open the book.
ತೋ ಸ್ನೇಹಿತಾಕ ರಖುನ್ಗನ್ನೊಟ್ಟ,He is waiting for his friend.
ತೀ ಸಕ್ಕಳ ಚಾ ಪೀಲಿ,She drank tea in the morning.
ಅಮ್ಮಿ ಅತ್ತ ಕೆಲಸ ಮುಂದುವರಿಸ್ಪ್ಯ,Let us continue the work now.
ತೂ ಹಂಗ ಇದ್ದು ವೇಳು ರಾಖ,You wait here for some time.
ತೋ ನೈ ಬದಿಕ ಭಡ್ಕಿಲೋ,He sat near the river.
ತೆಣೆ ಕಾಗದಾನ್ನು ಉತ್ತರ ಬರೇಲ್ಲ,She wrote the answer on the paper.
ಅಮ್ಮಿ ಸಂಗಾತ ಪ್ರಯಾಣ ಕರ್ಯ,Let us travel together.
ತೂ ಹುಳೂ ಉಲ್ಲಾಯೆ,You speak slowly.
ಹಾವ ಏ ಪ್ರಶ್ನೆ ಯೋಚನೆ ಕರ್ನ್ಗಣ್ಣಶ್ಶಿಲೆ,I am thinking about this question.
ತೋ ಕ್ಲಾಸ್ ಆಯ್ಕುನ್ಗನ್ನೊಟ್ಟ,He is listening in the class.
ತೀ ನವೆ ಪಾಠು ಚಾಚುನ್ಗನ್ನೊಟ್ಟ,She is reading a new lesson.
ಅಮ್ಮಿ ಸಕ್ಕಳ ಚೌಂಕ್ಯ,Let us walk in the morning.
ತೂ ಮಜ್ಜ ಸಂಗತ ಯೊವ್ಯೇದ,You can come with me.
ಮುಕ್ಕ ಏ ಪದ್ಯ ಭರ್ತಿ ಇಷ್ಟ,I like this song very much.
ತೋ ಸಕ್ಕಳಾ ಧಾವಲೊ,He ran in the morning.
ತೀ ಹಣ್ಣ ಧೌನ್ಗನ್ನೊಟ್ಟ,She is washing fruits.
ಅಮ್ಮಿ ಅತ್ತ ಜೌವ್ಯ,Let us eat now.
ತೂ ಮಜ್ಜೆಣಿ ಉತ್ತರ ಸಾಂಗ,You tell me the answer.
ಹಾವ ಘಾರ ಸ್ವಚ್ಚ ಕರ್ನ್ಗನ್ನೊಟ್ಟ,I am cleaning the house.
ತೆಣ ಗಡಿಯಾರ ಸಮಕೆಲ್ಲ,He fixed the clock.
ತೆಣೆ ಏಕ ಪುಸ್ತಕ ಸ್ನೇಹಿತಾಕ ದಿಲ್ಲ,She gave a book to her friend.
ಅಮ್ಮಿ ಸಾಯಂಕಾಲ ಸಿನಿಮ ಪಳೊವ್ಯ,Let us watch a movie in the evening.
ತುಮ್ಮಿ ಹಂಗ ಭಡ್ಕುನು ಉಲ್ಲಾಯಾ,You sit here and talk.
ಏ ಕೆಲಸಾನ್ನು ಮುಕ್ಕ ಆಸಕ್ತಿ ಅತ್ಸ,I find this work interesting.
ತೋ ರುಖ್ಖಾ ಅಡ್ಯೇಕ ರಬ್ಬಿಲೋ,He stood under the shade of the tree.
ತೀ ಕ್ಲಾಸಾನ್ನು ಹಾಷಿಲಿ,She laughed in the classroom.
ಅಮ್ಮಿ ಸಂಗಾತ ಹಾಡುಪ್ಯ,Let us sing together.
ತೂ ಮುಕ್ಕ ಸಹಾವು ಕರ್ಯೇದ,You can help me.
ಹವೆ ಏ ವಿಷಯ ಅರ್ಥು ಕರ್ನ್ಗಣುನ್ನ,I want to understand this topic.
ತೆಣ ಕಾಗದ ಕುಟ್ಟಂಕೆಲ್ಲ,He cut the paper.
ತೆಣೆ ಕಿಟಿಕೀಂಟು ಬೈರ್ ಪಳೇಲ,She looked outside through the window.
ಅತ್ತ ವಾಚಕ ಶುರು ಕರ್ಯ,Let us start studying now.
ವೆಗ್ಗಿ ಬೈಸರು ಯೋ,You get ready quickly and come.
ಏ ಪುಸ್ತಕಾಂಟು ಭರ್ತಿ ಉಪಯೋಗ ಅತ್ಸ,This book is very useful to me.
ತೆಣ ಸ್ನೇಹಿತಾಕ ಧನ್ಯವಾದು ಸಂಗಿಲ,He thanked his friend.
ತೆಣೆ ಜೆನ್ನಾನ್ನು ಮಡ್ಡೆ ಬಿಯ್ಲಿ,She planted a plant in the garden.
ಅಮ್ಮಿ ಸಕ್ಕಾಳ ವ್ಯಾಯಾಮು ಕರ್ಯ,Let us exercise in the morning.
ತೂ ಮುಕ್ಕ ರಾಖ,You wait for me.
ಹಾವ ಅತ್ತ ಕೆಲಸ ಕರ್ಗನ್ನೊಟ್ಟ,I am working now.
ತೋ ರೈಲು ನಿಲ್ದಾಣಕ ಗೆಲ್ಲೊ,He went to the railway station.
ತೀ ಹಾಡು ಹಾಡುಪಿರ,She is singing a song.
ಅಮ್ಮಿ ಸಾಯಂಕಾಲ ಚೌಂಕ್ಯ,Let us walk in the evening.
ತೊ ಉತ್ತರಾನ್ನು ಗಮನ ದೀ,You pay attention to the answer.
ಮುಕ್ಕ ಏ ಪ್ರಶ್ನೆ ಇದ್ದು ಕಷ್ಟ ಅತ್ಸ,This question is a little difficult for me.
ತೋ ಪತ್ರ ಬರೋನ್ಗನ್ನೊಟ್ಟ,He is writing a letter.
ತೀ ಸ್ನೇಹಿತೇನಿ ಉಲ್ಲೊ೦ನ್ಗನ್ನೊಟ್ಟ,She is talking with her friend.
ಅಮ್ಮಿ ಅತ್ತ ಘರಾಣಿ ಒಚ್ಯಾ,Let us go home now.
ತೂ ಹುಳೂ ಬರಾಯೆ,You write slowly.
ಹಾವ ನವೆ ವಿಷಯ ವಾಚುಂಗನ್ನೊಟ್ಟ,I am studying a new topic.
ತೋ ಶಾಲೇಕ ವೆಗ್ಗಿ ಅಯ್ಲೊ,He came early to school.
ತೆಣೆ ಫುಲ್ಲ ಕು೦ಟಿಲ,She plucked a flower.
ಅಮ್ಮಿ ಸಂಗತಾ ಶಿಕ್ಯ,Let us learn together.
ತೂ ಹಂಗ ರಾಭ,You stand here.
ಮುಕ್ಕ ಏ ಕಥೆ ಭರ್ತಿ ಇಷ್ಟ,I like this story very much.
ತೆಣ ಕಿಟಕಿ ಧಂಪಿಲ,He closed the window.
ಅಮ್ಮಿ ಅತ್ತ ವಿಶ್ರಾಂತಿ ಕಡ್ಯ,Let us take rest now.
ತೂ ಮಜ್ಜ ಸಂಗತ ಚೌನ್ಕ,You walk with me.
ಹಾವ ಏ ಪುಸ್ತಕ ವಾಚುನು ಸಾರ್ರ,I will finish this book.
ತೊ ಕೆಲಸಾ ಬಗ್ಗೆ ಯೋಚನೆ ಕರ್ರ,He is thinking about the work.
ತೆಣೆ ಸ್ನೇಹಿತಾಕ ಪತ್ರ ಬರೇಲ್ಲ,She wrote a letter to her friend.
ಅಮ್ಮಿ ಸಕ್ಕಳಾ ಧೌವ್ಯ,Let us run in the morning.
ತುಮ್ಮಿ ವೆಗ್ಗಿ ಉತ್ತರ ದ್ಯಾ,You give the answer quickly.
ಮುಕ್ಕ ಅಣೆಪ್ಪರ ಏ ಸೊಂಗ್ ಅಯ್ಕುನ್ನ,I want to listen to this song again.
ತೆಣ ಮಡ್ಯಾ೦ಕ ಉದೊ ಘಲ್ಲ,He watered the plants.
ತೀ ಜೆನ್ನಾನ್ನು ಭಡ್ಕಿಲಿ,She sat in the garden.
ಅಮ್ಮಿ ಸಂಗತಾ ಕೆಲಸ ಕರ್ಯ,Let us work together.
ತೂ ಮಜ್ಜೇಣಿ ಪ್ರಶ್ನೆ ವಿತಾರಿ,You ask me a question.
ಹವೆ ಏ ವಿಷಯ ಶಿಕ್ಕಿಲೆ,I learned this topic.
ತೆಣ ಸ್ನೇಹಿತಾಕ ಕಾಲ್ ಕೆಲ್ಲ,He called his friend.
ತೆಣೆ ತರಗತೀನ್ನು ಉತ್ತರ ಸಂಗಿಲ,She answered in the class.
ಅಮ್ಮಿ ಸಾಯಂಕಾಲ ಭೇಟಿ ದೌವ್ಯ,Let us meet in the evening.
ತುಮ್ಮಿ ಹಂಗ ಭಡ್ಕ್ಯ,You sit here.
ಏ ಚಿತ್ರ ಭರ್ತಿ ರೋಕ ಅತ್ಸ,This picture is very beautiful.
ತೆಣ ಪುಸ್ತಕ ಉಘಲ್ಲ,He opened the book.
ತೀ ಕೆಲಸ ಕರ್ನ್ಗನ್ನೊಟ್ಟ,She is working.
